Alle Berechnungsarten;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;L1-2a;Bus1;Bus1;Bus1;Bus2;Bus2;Bus2
"Zeitpunkt in s";"u1, Betrag/Anschluss i in p.u.";"Mitsystem-Spannung, Winkel/Anschluss i in deg";"Gesamte Wirkleistung/Anschluss i in MW";"Gesamte Blindleistung/Anschluss i in Mvar";"u1, Betrag/Anschluss j in p.u.";"Mitsystem-Spannung, Winkel/Anschluss j in deg";"Gesamte Wirkleistung/Anschluss j in MW";"Gesamte Blindleistung/Anschluss j in Mvar";"u1, Betrag in p.u.";"U, Winkel in deg";"Elektrische Frequenz in Hz";"u1, Betrag in p.u.";"U, Winkel in deg";"Elektrische Frequenz in Hz"
0,01000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,02000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,03000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,04000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,05000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,06000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,07000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,08000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,09000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,10000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,11000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,12000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,13000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
0,14000000;0,99425230;-2,38011822;-25,00000234;-0,00000028;1,00000000;-0,00000000;25,12285216;1,04332332;1,00000000;-0,00000000;60,00000000;0,99425230;-2,38011822;60,00000000
